All of CNET,http://www.cnet.com/rss/all/
Google News - RSS Feed,http://news.google.com/news?pz=1&cf=all&ned=us&hl=en&output=rss
ABC - Top Stories,http://feeds.abcnews.com/abcnews/topstories
NYTimes.com Home Page (U.S.),http://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml
NPR - News Headlines,http://www.npr.org/rss/rss.php?id=1001
NPR - Most E-mailed Stories,http://www.npr.org/rss/rss.php?id=100
USAToday - Top Headlines,http://content.usatoday.com/marketing/rss/rsstrans.aspx?feedId=news1
Harper's Magazine,http://www.harpers.org/xml/feed/rss.xml
The Atlantic,http://interglacial.com/rss/atlantic_free.rss
National Geographic News,http://news.nationalgeographic.com/index.rss
Guardian Unlimited front page,"http://www.guardian.co.uk/rssfeed/0,,1,00.xml"
BBC News Front Page,http://newsrss.bbc.co.uk/rss/newsonline_world_edition/front_page/rss.xml
Washington Post Top News,http://www.washingtonpost.com/wp-dyn/rss/linkset/2005/03/24/LI2005032400102.xml
NASA Breaking News,http://www.nasa.gov/rss/breaking_news.rss
EarthWire/UK News,http://www.earthwire.org/feeds/getnews_uk_rss.xml
